,nombre_artista,bio,listeners,playcount,similar
0,Marisol,"Marisol (o Pepa Flores, su nombre real) es una gran artista del cine y la música española y aunque esté retirada desde hace muchos años eso no hace más que aumentar su popularidad, entre sus seguidores y entre los que la recuerdan en las películas de su infancia.

Inició su carrera en 1960, a los 12 años, en la película ""Un rayo de luz"", con un enorme éxito, no sólo en España sino a nivel internacional incluso en Japón. De ahí en adelante filmó alrededor de 15 películas <a href=""https://www.last.fm/music/Marisol"">Read more on Last.fm</a>",46644,293612,"['Massiel', 'Los Secretos', 'Mocedades', 'Nino Bravo', 'Los Bravos']"
1,Da Igual,"Wences Sánchez empieza a despuntar desde bien pequeño como cantante y compositor. Su aire juvenil y desenfadado, junto a un estilo muy peculiar, le dan a sus canciones un toque muy personal que lo diferencian del resto. Su proyecto musical va gestándose poco a poco hasta que, en 2005, nace DA=. 

Tras mucho trabajo y largas horas de ensayo, DA= sale al mercado de forma independiente y autoproduce su primer disco, INJUSTIFICABLE. Sin apenas promoción <a href=""https://www.last.fm/music/da+igual"">Read more on Last.fm</a>",723,8850,"['Barrio Sur', 'nada que decir', 'Doctor Pitangú', 'EXCESO', 'Lagarto Amarillo']"
2,Los Rebeldes,"Los Rebeldes is a Spanish Rock and Roll / Rockabilly band from Barcelona formed in 1979 by Carlos Segarra (vocals & guitar), Aurelio Morata (bass) & Moises Sorolla (drums). They recorded his first album in 1981, tittled ""Cerveza, chicas y... Rockabilly"" (Beers, girls and... Rockabilly). <a href=""https://www.last.fm/music/Los+Rebeldes"">Read more on Last.fm</a>",23226,160468,"['Gatos Locos', 'Loquillo y Trogloditas', 'Loquillo Y Los Intocables', 'Los Coyotes', 'Rey Lui']"
3,Eladio y Los Seres Queridos," <a href=""https://www.last.fm/music/Eladio+y+Los+Seres+Queridos"">Read more on Last.fm</a>",4241,59382,"['elodio y los seres queridos', 'Grises', 'Lovely Luna', 'Egon Soda', 'Ruidoblanco']"
4,Los Directivos," <a href=""https://www.last.fm/music/Los+Directivos"">Read more on Last.fm</a>",881,31467,"['Anntona', 'Los lagos de Hinault', 'Espanto', 'La estrella de David', 'Klaus & Kinski']"
5,Duo Dinamico," <a href=""https://www.last.fm/music/+noredirect/Duo+Dinamico"">Read more on Last.fm</a>",15196,79109,[]
6,Kañasur," <a href=""https://www.last.fm/music/Ka%C3%B1asur"">Read more on Last.fm</a>",173,1642,"['Cherezade', 'El Suso', 'El biri', 'María Artés Lamorena', 'Fran Ocaña']"
7,Neleonard,"En Elefant Records creemos profundamente en NELEONARD. Creemos en las letras de Nele, en su idea fija de hacer canciones POP: grandes, llenas de detalles, con la ambición de conseguir que se te enganchen a la primera escucha y sin ningún pudor en tratar sobre el AMOR y el desencanto de las relaciones, sean del tipo que sean. Y por ello mismo, el debut discográfico de NELEONARD va a ser el primer 10” que engrose el catálogo de nuestra colección de nuevos artistas New Adventures In Pop. <a href=""https://www.last.fm/music/Neleonard"">Read more on Last.fm</a>",1916,27514,"['Sagrado Corazón de Jesús', 'Hazte Lapón', 'Rusos Blancos', 'Doble Pletina', 'El Palacio De Linares']"
8,Son Del Barrio," <a href=""https://www.last.fm/music/Son+del+Barrio"">Read more on Last.fm</a>",416,1436,"['Kalita del Sur', 'Demarco Flamenco', 'Pedro El Flamenkito', 'Indara', 'María Artés']"
9,Maria Carrasco," <a href=""https://www.last.fm/music/Maria+Carrasco"">Read more on Last.fm</a>",2917,20118,"['Belén Moreno', 'Lya', 'Natalia Y Maka', 'Joana Jiménez', 'SinLache']"
10,Ketito," <a href=""https://www.last.fm/music/Ketito"">Read more on Last.fm</a>",321,1946,"['aldeskuido', 'Natalia Y Maka', 'El Tren De Los Sueños', 'Los Rebujitos', 'El biri']"
11,Roberto Casalino," <a href=""https://www.last.fm/music/Roberto+Casalino"">Read more on Last.fm</a>",388,8033,"['Syria', 'Romina Falconi', 'Giovanni Caccamo', 'Federica Abbate', 'Chiara Galiazzo']"
12,Luisa Lacerda," <a href=""https://www.last.fm/music/Luisa+Lacerda"">Read more on Last.fm</a>",743,6134,"['Vanessa Moreno', 'Paulo Bellinati', 'Pietá', 'Goma-Laca', 'Tavinho Moura']"
13,Nechivile," <a href=""https://www.last.fm/music/Nechivile"">Read more on Last.fm</a>",6082,68499,"['Hugo Pena e Gabriel', 'Zé Henrique & Gabriel', 'Hugo Pena & Gabriel', 'marcos e fernando', 'Janaynna']"
14,Xabi Bandini," <a href=""https://www.last.fm/music/Xabi+Bandini"">Read more on Last.fm</a>",450,4150,"['NØGEN', 'Olatz Salvador', 'skakeitan', 'Ibil Bedi', 'Izaki Gardenak']"
15,Ataque Escampe,"Ataque Escampe é grupo de rock acústico formado no ambiente universitario da cidade de Santiago de Compostela por rapaces de diferentes zonas do país contra o remate do ano 2001. Nese momento os seus seis membros, Samuel, Pablo, Álex, Dani, Miguel e Roi, comezan a ensaiar de xeito irregular na residencia universitaria do Monte da Condesa, ademais de gravar con pésimos medios (por exemplo, cassette) temas de corte folk-rock (o laúde e o violín <a href=""https://www.last.fm/music/Ataque+Escampe"">Read more on Last.fm</a>",3615,103287,"['The Homens', 'Terbutalina', 'Fanny + Alexander', 'Galegoz', 'Familia Caamagno']"
16,Os Amigos dos Músicos," <a href=""https://www.last.fm/music/Os+Amigos+dos+M%C3%BAsicos"">Read more on Last.fm</a>",461,6736,"['Esposa', 'Caxade', 'Ataque Escampe', 'Oh! Ayatollah', 'Guadi Galego']"
17,Planet Funk,"Planet Funk is an Italian electronic dance musical ensemble.

Members are Sergio Della Monica, Alex Neri, Domenico GG Canu, Marco Baroni, Alex Uhlmann and Alessandro Sommella (the Ghost extra member), in addition to a series of guest singers in collaboration, like Dan Black, Sally Doherty, Raiz and John Graham. Alex Uhlmann joined as the band's latest lead singer in November 2010.

Their first single, ""Chase the Sun"", reached number five on the UK Singles Chart in 2001. <a href=""https://www.last.fm/music/Planet+Funk"">Read more on Last.fm</a>",371405,4449226,"['Kraak & Smaak', 'Spiller', 'Bent', 'DB Boulevard', 'Groove Armada']"
18,Young Forest," <a href=""https://www.last.fm/music/Young+Forest"">Read more on Last.fm</a>",146,1321,"['Xosé Lois Romero & Aliboria', 'The New Raemon, David Cordero & Marc Clos', 'Ángel Stanich', 'Sés', 'Club del Río']"
19,Igor Paskual," <a href=""https://www.last.fm/music/Igor+Paskual"">Read more on Last.fm</a>",911,13426,"['Alfredo González', 'José Ignacio Lapido', 'Jaime Urrutia', 'Stormy Mondays', 'Ramoncín']"
20,Ruiperez," <a href=""https://www.last.fm/music/Ruiperez"">Read more on Last.fm</a>",266,1267,"['Red Gekko', 'Miss Penas', 'Santiago Campillo', 'Min Go', 'UnderWallace']"
21,Los eternos," <a href=""https://www.last.fm/music/Los+Eternos"">Read more on Last.fm</a>",172,736,"['Sheila Patricia', 'Eris Mackenzie', 'Catuxa Salom', 'Caamaño & Ameixeiras', 'Rotce']"
22,Sutan," <a href=""https://www.last.fm/music/sutan"">Read more on Last.fm</a>",182,719,"['NØGEN', 'skakeitan', 'Garilak 26', 'Xabi Bandini', 'En Tol Sarmiento']"
23,Onki Xin," <a href=""https://www.last.fm/music/Onki+Xin"">Read more on Last.fm</a>",49,878,"['Eskean Kristö', 'LiHer', 'Aneguria', 'EraBatera', 'Huntza']"
24,Ruxe Ruxe," <a href=""https://www.last.fm/music/+noredirect/Ruxe+Ruxe"">Read more on Last.fm</a>",713,6134,[]
25,Kitai," <a href=""https://www.last.fm/music/Kitai"">Read more on Last.fm</a>",5775,56198,"['ELYELLA', 'Carmen 113', 'Comandante Twin', 'alison DARWIN', 'Melifluo']"
26,Alejandro Conde," <a href=""https://www.last.fm/music/Alejandro+Conde"">Read more on Last.fm</a>",525,4375,"['Julio Madrid', 'Alejandro Conde (F)', 'Los Cabales', 'Alborada Flamenca', 'Paquiro']"
27,Supercobra," <a href=""https://www.last.fm/music/Supercobra"">Read more on Last.fm</a>",190,2563,"['Sushi Bar', 'Novo Pilota', 'monkiki', 'Jukebox Wars', 'Examiner']"
28,Johnny Preston,"Johnny Preston (born John Preston Courville on August 18, 1939, Port Arthur, Texas, USA - died March 4, 2011, Beaumont, Texas) was an American singer. He's best known for his international number one hit in 1960, ""Running Bear"".

Of Cajun ancestry, Preston sang in high school choral contests throughout the state of Texas. He formed a rock and roll band called 'The Shades', before recording his No. 1 hit single ""Running Bear."" The song was written in 1958 by J. <a href=""https://www.last.fm/music/Johnny+Preston"">Read more on Last.fm</a>",48899,201197,"['Jimmy Jones', 'Johnny & The Hurricanes', 'Freddy Cannon', 'Bobby Rydell', 'Lloyd Price']"
29,Jardim Soma," <a href=""https://www.last.fm/music/Jardim+Soma"">Read more on Last.fm</a>",2059,13226,"['astralplane', 'Versalle', 'Cascadura', 'O Estrangeiro', 'Bemvirá']"
30,Los Ghoul Espantos," <a href=""https://www.last.fm/music/Los+Ghoul+Espantos"">Read more on Last.fm</a>",233,1282,"['Los Carniceros del Norte', 'Under My Nails', 'Circo del Luto', 'MekRokieV', 'Frankie Ha Muerto']"
31,Smile And Burn,"Smile And Burn are a Pop-Punk band from Berlin, Germany. <a href=""https://www.last.fm/music/Smile+and+Burn"">Read more on Last.fm</a>",17135,302488,"['Kind Kaputt', 'Lygo', 'Hi! Spencer', 'Abramowicz', 'Idle Class']"
32,Los Muecas,"Los Muecas

The meaning of their name in English is equivalent to The Faces or The Facial-Gestures. This band  has been very popular along the Americas as one of the ""Grupos Consagrados"" of the Romantic Wave in the 70's. It was formed in Mexicali, Baja California Norte, México. Their Front-Man and Original- Vocalist  was Jose Refugio ""Artemio"" Perez Ramirez. (Recorded 1967-1975). His Mellow/High-Pitch makes him the band's ICON, and the good reason to buy their Music. <a href=""https://www.last.fm/music/Los+Muecas"">Read more on Last.fm</a>",9314,61557,"[""Los Freddy's"", 'Grupo Modelo', 'Los Polifaceticos', 'Industria Del Amor', 'Los Rehenes']"
33,Juan Hernández y Su Banda de Blues," <a href=""https://www.last.fm/music/Juan+Hern%C3%A1ndez+y+Su+Banda+de+Blues"">Read more on Last.fm</a>",1546,9671,"['Trolebús', 'Sur 16', 'Heavy Nopal', 'Jessie Blues', 'Sam Sam']"
34,Disco Van," <a href=""https://www.last.fm/music/Disco+Van"">Read more on Last.fm</a>",25,258,[]
35,Marco Ginelli," <a href=""https://www.last.fm/music/Marco+Ginelli"">Read more on Last.fm</a>",4244,19329,"['Zeltak', 'Claas Herrmann', 'Osiris4', 'Denis Dekay', 'Luca Maier']"
36,AAAA,"There are at least two artists with the name AAAA: 

1. aaaa is the pseudonym for Japanese video game composer Mamoru Miyata (宮田守), born March 1994.

2. AAAA is one of the monikers of Mexican electronic music producer and performer Gabo Barranco. He's one of the co-creators of the itinerant rave party collective known as EXT, based in Mexico City. <a href=""https://www.last.fm/music/aaaa"">Read more on Last.fm</a>",20884,366907,"['Camellia', 'Sta', 'Waterflame', 'AAAA, Umeboshi Chazuke', 'Yunosuke']"
37,Yan Oxygen," <a href=""https://www.last.fm/music/Yan+Oxygen"">Read more on Last.fm</a>",3959,17746,"['A.K.O.', '2 Robots', 'Piatto', 'Federico Milani', 'FLOW Superstars']"
38,Hernan Bass,"From Buenos Aires is a well-known talented producer at the deep minimal global scene and founder of Krad Records
Labels like Innocent Music, Little Helpers, Baile Musik, Yoruba Grooves, and more halso vinyls at Der Hut, La Boheme Records, FineFood Rec.
From Buenos Aires, Hernan Bass is a well-known talented producer at the deep minimal global scene and founder of Krad Records. Until this day, he keeps playing at clubs from different countries as Germany <a href=""https://www.last.fm/music/Hernan+Bass"">Read more on Last.fm</a>",2174,9666,"['Truati', 'Lucas Romagnuolo', 'Allan Villar', 'Dope Kids', 'Marco Lansi']"
39,Norberto Lusso," <a href=""https://www.last.fm/music/Norberto+Lusso"">Read more on Last.fm</a>",704,4263,"['Fraktur', 'Brecc', 'DLV', 'Blutrot', 'VII Circle']"
40,Sven Kuhlmann," <a href=""https://www.last.fm/music/Sven+Kuhlmann"">Read more on Last.fm</a>",1522,5381,"['Xyloo', 'Sven & Olav', 'Schustin', 'Innertier', '3logy']"
41,Peppelino," <a href=""https://www.last.fm/music/Peppelino"">Read more on Last.fm</a>",1639,7773,"['Odessa Soundfreaks', 'Miche & Mirzinho', 'Rantan', 'reaky', 'Vortechtral']"
42,Manu Sami," <a href=""https://www.last.fm/music/Manu+Sami"">Read more on Last.fm</a>",404,1682,"[""Lorenzo D'Amario"", 'Luca Terzini', 'Mark Denken', 'Avrosse', 'Louie Cut']"
43,Ken Karter," <a href=""https://www.last.fm/music/Ken+Karter"">Read more on Last.fm</a>",885,4710,"['DSCRD', 'Sendai', 'Dadub', 'Xhin', 'Zeitgeber']"
44,Disco Ball'z,"DISCO BALL'z is the stage name of DJ and producer Balazs Oravecz, from Budapest, Hungary.
His style is a mix of tech house, grooving beats, and filtered old school riffs from the golden age of disco music.  <a href=""https://www.last.fm/music/Disco+Ball%27z"">Read more on Last.fm</a>",1366,7804,"['Audio Jacker', 'Coach Roebuck', 'DJ Zimmo', 'B.Jinx', 'Chris de Cologne']"
45,Duck Sandoval," <a href=""https://www.last.fm/music/Duck+Sandoval"">Read more on Last.fm</a>",150,296,"['Morcaratia', 'Grupa Dusku', 'Pacius Elter', 'Unkoder', 'Mirrørmask']"
46,Dkult," <a href=""https://www.last.fm/music/Dkult"">Read more on Last.fm</a>",366,1323,"['Mattias Fridell', 'Stevie Wilson', 'Marco Ginelli', 'Darmec', 'TWIST3D']"
47,Qoso," <a href=""https://www.last.fm/music/Qoso"">Read more on Last.fm</a>",2651,12820,"['Low Jack', 'Danton Eeprom', 'Draft Dodger', 'Clement Meyer', 'Ryskee']"
48,Lorenzo Al Dino," <a href=""https://www.last.fm/music/Lorenzo+al+Dino"">Read more on Last.fm</a>",3803,12974,"['Maestro & Cabal', 'Tom & Joyce', 'Café Luna', 'Raw Artistic Soul', 'Sound Surgeons']"
49,Zareh Kan," <a href=""https://www.last.fm/music/Zareh+Kan"">Read more on Last.fm</a>",3606,10295,"['Gyóntatófülke', 'AnDrew DeXx', 'Kis Grófo', 'BSW', 'DR BRS']"
50,Dj Scale Ripper," <a href=""https://www.last.fm/music/Dj+Scale+Ripper"">Read more on Last.fm</a>",1192,3130,"['88756', 'Stockholm Acid Force', 'Decoq', 'Mark Greene', 'Illiya Korniyenko']"
51,Javier Marimon," <a href=""https://www.last.fm/music/Javier+Marimon"">Read more on Last.fm</a>",453,3713,"['Adhémar', 'Daniel[i]', 'javier salazar', 'Doctrina Natura', 'Pianeti Sintetici']"
52,Sebastian Konrad,"Sebastian Konrad aka Konni! Ein ganz großer der lokalen (Gummersbacher) Musik-Szene!  <a href=""https://www.last.fm/music/Sebastian+Konrad"">Read more on Last.fm</a>",1315,4013,"['Frank & Friedrich', 'Scoutdevin', 'Musart', 'Monumental Men', 'Valsa']"
53,Droneghost," <a href=""https://www.last.fm/music/Droneghost"">Read more on Last.fm</a>",1103,5836,"['Morpha', 'Hydrous', 'MTRL', 'Dycide', 'Foreign Material']"
54,Q-Lee," <a href=""https://www.last.fm/music/Q-Lee"">Read more on Last.fm</a>",164,2211,"['Sound TV', 'Apjok Csaba', 'Hexalyne', 'exm', 'Antias']"
55,DJ D ReDD," <a href=""https://www.last.fm/music/DJ+D+ReDD"">Read more on Last.fm</a>",132,344,"['Deas', 'Kander', 'Dj Jordan', 'David Strasser']"
56,Random Sequence," <a href=""https://www.last.fm/music/Random+Sequence"">Read more on Last.fm</a>",381,1117,"['STØTS', 'Dstm', 'Mark Greene', 'Mayeul', 'HA|XO']"
57,Omega Drive," <a href=""https://www.last.fm/music/Omega+Drive"">Read more on Last.fm</a>",2049,11608,"['Gary Maguire', 'Brent Sadowick', 'Kamui', 'Renegade System', 'Audiowarp']"
58,Steve Menta," <a href=""https://www.last.fm/music/Steve+Menta"">Read more on Last.fm</a>",150,633,['Qbical']
59,MOD3LLR," <a href=""https://www.last.fm/music/MOD3LLR"">Read more on Last.fm</a>",71,533,[]
60,Phaedon," <a href=""https://www.last.fm/music/Phaedon"">Read more on Last.fm</a>",78,185,[]
61,Israel Toledo,"Israel Toledo is the brain behind ASR, he runs the label Assassin Soldier Recordings and Now a days he is producing many releases and remixes for many labels world..

Israel Toledo is a Mexican DJ & Producer based in Germany. He is one of the most exported Mexican Dj´s. 

He is the brain behind Assassin Soldier Recordings and now a days he is producing many releases and remixes for many labels world wide and playing around the globe in Clubs like Tresor <a href=""https://www.last.fm/music/Israel+Toledo"">Read more on Last.fm</a>",1440,5658,"['Mikael Pfeiffer', 'Niereich', 'GabeeN', 'A. Trebor', 'Logotech']"
62,Gaboo," <a href=""https://www.last.fm/music/Gaboo"">Read more on Last.fm</a>",364,1063,"['Stephen Advance', 'Hard Plex', 'Beats Sounds', 'Edoardo Spolaore', 'Claudio Colbert']"
63,Alexskyspirit,"Born, raised, and based in Patras, Greece, Alexskyspirit’s experience with the decks started in the early 00s in his hometown clubs and bars, blending his early influences of dark, progressive house with psychedelic trance. As he gradually honed his production skills and started shaping his musical identity, he shared the stage with some well-established names over those years, such as Edit Select, Keith Carnal, Charlotte De Witte, Dax J, Oxia, and Robert Dietz. <a href=""https://www.last.fm/music/Alexskyspirit"">Read more on Last.fm</a>",1234,7123,"['tsott', 'Linear System', 'Dycide', 'Biocym', 'ØSC']"
64,Har-El,"Har-El Prusky, Goa Trance/Acid producer from Israel primarily known for California Sunshine and Adrenalin Drum projects. <a href=""https://www.last.fm/music/Har-El"">Read more on Last.fm</a>",1172,4908,"['Tristan and a Green Nun', 'Kayseri', 'I Savastano', 'Epic-tone', 'Exotonic']"
65,Nicolas Rada," <a href=""https://www.last.fm/music/Nicolas+Rada"">Read more on Last.fm</a>",3436,16748,"['Dmitry Molosh', 'Michael A', 'Ewan Rill', 'Simos Tagias', 'Analog Jungs']"
66,Bynomic," <a href=""https://www.last.fm/music/Bynomic"">Read more on Last.fm</a>",497,1993,"['Madloch', 'Seven Wells', 'Fabri Lopez', 'Michael A', 'Eric Lune']"
67,Milos Miladinovic," <a href=""https://www.last.fm/music/Milos+Miladinovic"">Read more on Last.fm</a>",83,357,['Dmitry Molosh']
68,Chris Hampshire," <a href=""https://www.last.fm/music/Chris+Hampshire"">Read more on Last.fm</a>",2008,5794,"['Jullians', 'Toby Hedges', 'Nymark & Dryden', 'Julia Lav', 'Alexandre Bergheau']"
69,Armos," <a href=""https://www.last.fm/music/Armos"">Read more on Last.fm</a>",1751,6651,"['Y-LF', 'The Local Heroes', 'Attila Syah', 'Exis', 'Saad Ayub']"
70,Madloch,"Madloch is a Belgian house music producer & DJ
 The Belgian artist discovered electronic music in the early nineties and has been enthralled with it ever since. His early days as a local DJ in Belgium have led him to heights that he couldn't have imagined at the time. After creating the Sound Avenue imprint in 2011 Madloch has been on a momentous rise through the electronic music underground. The label which holds a meticulous discography of more <a href=""https://www.last.fm/music/Madloch"">Read more on Last.fm</a>",3266,14691,"['Paul (AR)', 'Berni Turletti', 'Subconscious Tales', 'John Cosani', 'Michael A']"
71,Ferry Corsten's Countdown," <a href=""https://www.last.fm/music/Ferry+Corsten%27s+Countdown"">Read more on Last.fm</a>",340,2087,"['Fast Distance', 'Ron Hagen', 'Eugenio Tokarev', 'Saltwater', 'Radion6']"
72,Eric Senn,"Born and raised in Poland, Eryk Sendecki is a bright up and coming DJ and Producer with experience not only in producing music tracks for film but also on the uplifting and emotional side of Trance. Influenced by the likes of Armin van Buuren, Tiesto, Daniel Kandi, Andy Blueman, Alex M.O.R.P.H and Dash Berlin his DJ career started in 2012 playing small Trance events.Then at age 17, Eric started producing music without any formal musical school or education. <a href=""https://www.last.fm/music/Eric+Senn"">Read more on Last.fm</a>",4722,35701,"['FUTURECODE', 'Dennis Graft', 'Assaf', 'Leroy Moreno', 'Madwave']"
73,Roman Messer Suanda Radio," <a href=""https://www.last.fm/music/Roman+Messer+Suanda+Radio"">Read more on Last.fm</a>",29,137,"['She Shaz Band', 'Tritonal Tritonia Radio', 'Tycoos Future Horizons Radio', 'Primestate Project', 'Elektrostaub feat. Patrik Hansson']"
74,Armin van Buuren ASOT Radio,"A mistag for Armin Van Buuren's weekly A State of Trance radio show.  <a href=""https://www.last.fm/music/Armin+van+Buuren+ASOT+Radio"">Read more on Last.fm</a>",8356,109692,"['Aly & Fila', 'Armin van Buuren', 'Andrew Rayel', 'Markus Schulz', 'Eximinds']"
75,Andrew Rayel,"Trance producer and DJ from Moldova.

Randry / Andrew Rayel's real name it's Andrei Rata

His musical career began in 2005. At only 17 years old, Andrew Rayel has been producing since he was 13, each year gaining more and more experience and finding his “sound”. His tracks have a variety of influences from different trance styles. He tries to offer something hot and new every time, never using the same formula of previous track.

Andrew Rayel <a href=""https://www.last.fm/music/Andrew+Rayel"">Read more on Last.fm</a>",175535,2748433,"['Giuseppe Ottaviani', 'Ben Gold', 'Armin van Buuren', 'Orjan Nilsen', 'Jorn van Deynhoven']"
76,Cosmic Gate's Wake Your Mind Radio," <a href=""https://www.last.fm/music/Cosmic+Gate%27s+Wake+Your+Mind+Radio"">Read more on Last.fm</a>",124,457,"['John O’Callaghan, Audrey Gallagher', ""John O'Callaghan, Will Atkinson, The Noble Six"", 'Armin van Buuren', 'Armin van Buuren ASOT Radio', 'Markus Schulz, Matt Fax, Dennis Sheperd']"
77,Luke Terry,"24 year-old Luke Terry is the brink of something big, but first impressions are of his dedication to music rather than his accomplishments within the trance scene.

A genuinely modest character, Luke will be the last person to bring his rapidly progressing music career into a conversation. Don’t get us wrong, Luke’s passion for music is obvious. It’s all he talks about. However, what he usually neglects to mention is that his music has gained support from just about every big name trance DJ on the planet. <a href=""https://www.last.fm/music/Luke+Terry"">Read more on Last.fm</a>",10314,58023,"['Akira Kayosa', 'Ciro Visone', 'Andy Tau', 'Johan Ekman', 'Tonny Nesse']"
78,California Sunshine,"California Sunshine was originally the Israeli goa/psytrance project of Har-el Prussky aka Adrenalin Drum and DJ Miko aka X-Wave. More recently, the name California Sunshine is owned by Miko and Roy Sela, a producer and guitarist. This artist page may also (incorrectly) contain albums released by Har-el without DJ Miko, which are typically released under the name California Sunshine (Har-El). <a href=""https://www.last.fm/music/California+Sunshine"">Read more on Last.fm</a>",13139,175028,"['Etnica', 'The Infinity Project', 'Space Tribe', 'Filteria', 'Yahel']"
79,Above & Beyond Group Therapy," <a href=""https://www.last.fm/music/Above+"">Read more on Last.fm</a>",0,0,[]
80,Markus Schulz - Global DJ Broadcast," <a href=""https://www.last.fm/music/Markus+Schulz+-+Global+DJ+Broadcast"">Read more on Last.fm</a>",38,155,['Andrew Rayel']
81,Tom Exo," <a href=""https://www.last.fm/music/Tom+Exo"">Read more on Last.fm</a>",3645,16970,"['Mike Zaloxx', 'Allan Berndtz', 'Jody 6', 'U-Mount', 'Ed Sánchez']"
82,Aly & Fila," <a href=""https://www.last.fm/music/Aly+"">Read more on Last.fm</a>",0,0,[]
83,Nick Newman,"Nick Newman specializes in producing electronic music that can best be classified as Organic House and Electronica. Deriving influences from Techno and Trance, the British-born artist has fashioned a deep melodic style that is characterized by its warm meditative quality, and ethereal textures. Based in Atlanta, Newman has been recognized by industry-leading labels including The Soundgarden, Guy J’s Armadillo Records, Manual Music, Stripped Digital, and more. <a href=""https://www.last.fm/music/nick+newman"">Read more on Last.fm</a>",3579,9733,"['St.Ego', '4Moon Music', 'Jiminy Hop', 'Nikko Mavridis', 'Soldatov']"
84,Indi,"There are (4) listings for INDI. One is a american hip-hop producer and emcee see INDI BLACK. And the other is a  Russian rock group.
Third: ‘indi’ is the moniker of contemporary musician and composer Indira Force, who originates from the rain forests of Titirangi, New Zealand and built her foundations of classical piano. Currently based in Berlin, indi writes using a combination of electronic and classical instrumentation, with a signature sound that relies on intricate details and multi-layered structures. <a href=""https://www.last.fm/music/Indi"">Read more on Last.fm</a>",14329,88312,"['loowana', 'Whilk and Misky', 'Mermaidens', 'Emmx', 'Nicolas Sales']"
85,Airwave,"Laurent Véronnez aka (DJ) Airwave lived in Brussels until he was 20 years young, experimenting with computers and synthesizers at his home. After sending his first demo to Lightning Records - the original home of the infamous Bonzai label -, he became one of the main artists of the new age in electronic music. After the first small successes with PLG, North Pole, Montera and Magnetix, he had his first breakthrough with the first release of Fire & Ice, produced together with DJ Fire. <a href=""https://www.last.fm/music/Airwave"">Read more on Last.fm</a>",106116,968963,"['Stoneface & Terminal', 'Alex M.O.R.P.H.', 'Rank 1', 'Midway', 'Activa']"
86,S.H.O.K.K.,"Swiss hard trance producer. <a href=""https://www.last.fm/music/S.H.O.K.K."">Read more on Last.fm</a>",21254,131547,"['Marc Dawn', 'Marcel Woods', 'Dumonde', 'Technikal', 'Flutlicht']"
87,Second Reason," <a href=""https://www.last.fm/music/Second+Reason"">Read more on Last.fm</a>",237,1071,"['Pavel Tkachev', 'Andrey Pashkov', 'Eric Senn', 'Stella Project', 'Ciro Visone & Semper T.']"
88,Aevus," <a href=""https://www.last.fm/music/Aevus"">Read more on Last.fm</a>",128,462,[]
89,Tom Wax,"Tom Wax started his DJing career in the late 1980's playing at small clubs and partys around his hometown of Darmstadt, Germany. Still in school, Tom and his friend Thorsten Adler started experimenting in electronic dance music and landed instant clubhits with their several projects. The breakthrough came in 1992 with Arpeggiators when they got signed by Harthouse, the young label of techno guru Sven Vath. Since then Tom, in corporation with various friends <a href=""https://www.last.fm/music/Tom+Wax"">Read more on Last.fm</a>",24076,91510,"['Julien Riess', 'Sabura', 'Daniel Levak', 'Juliet Fox', 'Anahit Vardanyan']"
90,Los Relicarios," <a href=""https://www.last.fm/music/Los+Relicarios"">Read more on Last.fm</a>",3887,20472,"['El Caballero Gaucho', 'Luis Alberto Posada', 'Darío Gómez', 'El Charrito Negro', 'Joaquin Bedoya']"
91,Alberto Cortez,"Alberto Cortez (born José Alberto García Gallo; March 11, 1940 – April 4, 2019) was an Argentine singer and songwriter. 

Cortez was born in Rancul, La Pampa Province, Argentina. He began elementary school at the Alberto Williams conservatory at the age of six. He began composing songs at twelve, including ""Un cigarrillo, la lluvia y tú"". Later he entered Manuel Ignacio Molina de San Rafael Junior High School in Mendoza province. There he continued his studies of music at the Chopin of San Rafael conservatory. <a href=""https://www.last.fm/music/Alberto+Cortez"">Read more on Last.fm</a>",38164,288353,"['Joan Manuel Serrat', 'Fernando Delgadillo', 'Pablo Milanés', 'Facundo Cabral', 'Joaquín Sabina']"
92,Abhijit Majumdar," <a href=""https://www.last.fm/music/Abhijit+Majumdar"">Read more on Last.fm</a>",132,757,"['Kumar Bapi', 'Humane Sagar', 'Ira Mohanty', 'Namita Agrawal', 'Asima Panda']"
93,Bhakta Prasad Barik," <a href=""https://www.last.fm/music/Bhakta+Prasad+Barik"">Read more on Last.fm</a>",1,1,[]
94,Dikshu," <a href=""https://www.last.fm/music/Dikshu"">Read more on Last.fm</a>",346,3338,"['Neel Akash', 'Achurjya Borpatra', 'Simanta Shekhar', 'Subasana Dutta', 'Deeplina Deka']"
95,Mithu Marshal," <a href=""https://www.last.fm/music/Mithu+Marshal"">Read more on Last.fm</a>",182,709,"['Ritesh Pandey', 'Arvind Akela Kallu Ji', 'Neelkamal Singh', 'Samar Singh', 'Shivani Singh']"
96,Aakangkhya Das," <a href=""https://www.last.fm/music/Aakangkhya+Das"">Read more on Last.fm</a>",13,25,[]
97,Raju Rawal," <a href=""https://www.last.fm/music/Raju+Rawal"">Read more on Last.fm</a>",121,331,"['GOKUL SHARMA', 'Tulchharam Bhangawa', 'Chotu Singh Rawna', 'Sugna Bai', 'Rohit Sardhana']"
